symbol,date,open,high,low,close,volume,gain_percent,days_up,prior_gain
ADAG,2021-02-09,20.45,30.95,20.44,29.32,194062,43.37408312958435,1,0.0
ORIO,2021-02-09,7.86,11.79,7.84,10.445,157482,32.88804071246818,5,81.10599078341014
SINT,2021-02-09,2.3,3.06,2.26,3.02,86749,31.304347826086975,2,26.72176308539944
CMMB,2021-02-10,3.07,10.42,3.07,7.95,190799,158.95765472312706,1,28.99159663865547
SNDL,2021-02-10,2.2,3.04,1.93,2.93,13077016,33.18181818181818,3,82.57261410788381
RKDA,2021-02-10,4.07,5.9,4.07,5.56,150499,36.60933660933659,3,34.768211920529815
LDI,2021-02-11,14.005,23.15,14.005,20.45,156891,46.01927882898964,1,0.0
HYLN,2021-02-11,15.86,22.22,15.32,20.76,746458,30.895334174022704,1,-0.18879798615482057
XTIA,2021-02-11,1.68,2.88,1.63,2.285,921470,36.011904761904766,1,0.5988023952095745
SOS,2021-02-11,4.2,7.12,4.18,6.285,658116,49.642857142857146,1,20.863309352517987
TOPS,2021-02-12,2.57,3.85,2.57,3.63,250663,41.24513618677044,2,21.800947867298582
PRTA,2021-02-12,16.9,23.53,16.83,22.88,65393,35.384615384615394,1,16.8741355463347
SOS,2021-02-12,5.48,7.75,5.3,7.425,800682,35.49270072992699,2,42.15304798962387
SHIP,2021-02-12,1.49,2.15,1.4,2.0,917069,34.228187919463096,1,29.00432900432901
PXS,2021-02-16,1.7,4.55,1.68,2.97,304604,74.7058823529412,2,35.999999999999986
SCKT,2021-02-16,10.24,34.93,9.18,20.92,2319343,104.296875,2,248.2993197278912
XTKG,2021-02-17,4.34,9.65,4.17,6.4,68861,47.46543778801844,1,31.51515151515152
CNET,2021-02-17,4.54,6.18,4.2,6.1,267155,34.36123348017621,1,38.83792048929664
JFU,2021-02-18,1.89,3.5,1.87,2.605,490730,37.830687830687836,1,-18.3585313174946
UAMY,2021-02-19,1.51,2.52,1.51,2.015,337166,33.443708609271525,1,57.127991675338194
MATH,2021-02-19,2.85,3.82,2.85,3.72,56768,30.526315789473692,1,4.395604395604402
TAOP,2021-02-22,6.86,14.4,6.84,10.95,1161474,59.620991253644306,1,55.203619909502265
PAVM,2021-02-22,4.0,5.62,3.93,5.54,130193,38.5,1,13.636363636363647
ZKIN,2021-02-22,7.84,12.74,7.62,10.21,60869,30.229591836734706,4,45.72490706319703
SLDB,2021-02-23,6.72,9.905,6.69,9.71,86263,44.49404761904763,1,-7.438016528925617
NAGE,2021-02-25,10.26,23.65,10.26,18.74,1458236,82.65107212475633,1,36.25498007968127
XTNT,2021-02-26,2.02,6.58,2.02,4.31,455791,113.36633663366334,1,-1.9417475728155331
SLE,2021-03-04,6.15,9.09,5.97,8.845,1837798,43.82113821138211,1,100.3257328990228
VANI,2021-03-05,2.28,9.88,2.07,5.76,7924238,152.63157894736844,1,29.91452991452992
EXPR,2021-03-08,2.51,4.345,2.51,4.0,489853,59.36254980079683,1,-10.676156583629904
MYND,2021-03-11,3.8,5.76,3.8,4.95,84603,30.263157894736857,3,20.63492063492063
FINV,2021-03-11,6.02,10.59,5.8,9.77,1538300,62.292358803986716,1,16.893203883495133
MI,2021-03-15,4.08,9.24,3.92,8.22,78115,101.47058823529412,3,63.20000000000001
NTRP,2021-03-15,4.94,9.75,4.91,7.61,2454564,54.04858299595141,1,60.91205211726387
OCG,2021-03-15,4.61,9.575,4.51,9.15,168427,98.48156182212581,3,48.231511254019296
JILL,2021-03-16,5.52,9.42,5.52,7.71,77243,39.67391304347827,4,38.345864661654126
SOGP,2021-03-16,10.36,15.24,9.82,13.62,517346,31.46718146718146,1,51.240875912408754
MI,2021-03-17,5.34,24.84,5.34,21.8,627029,308.2397003745319,1,97.77777777777776
IMTE,2021-03-17,4.62,9.46,4.62,8.26,345382,78.78787878787878,1,5.239179954441919
OCG,2021-03-17,5.34,11.21,5.34,10.51,470669,96.81647940074907,1,57.05882352941176
JFIN,2021-03-18,5.42,13.59,5.3,9.4,1854907,73.43173431734317,2,33.16953316953315
JFIN,2021-03-22,7.8,14.94,7.62,14.5,849571,85.8974358974359,1,74.10714285714283
MI,2021-03-22,25.71,52.11,25.71,47.15,613582,83.39167639050953,2,212.77372262773721
BNTC,2021-03-23,6.81,10.37,5.31,9.26,1000061,35.976505139500745,1,122.5490196078431
DLPN,2021-03-23,10.77,18.18,10.1,18.18,3081279,68.80222841225627,1,119.34826883910384
WKEY,2021-03-24,10.61,22.36,9.83,20.49,938816,93.11969839773798,1,34.64467005076142
KOSS,2021-03-25,15.93,25.99,15.93,25.48,168187,59.94978028876334,1,-37.77343750000001
PRQR,2021-03-25,5.82,9.46,5.82,9.24,1398205,58.762886597938135,1,5.626134301270436
POLA,2021-03-25,9.41,12.64,9.38,12.4,65057,31.77470775770457,1,-22.615131578947366
DSGN,2021-03-26,25.96,49.81,25.915,41.0,141753,57.93528505392911,1,0.0
IMA,2021-03-26,22.66,37.245,19.32,31.87,150281,40.64430714916152,1,0.0
WAFU,2021-03-26,8.52,20.97,8.52,12.68,1347883,48.8262910798122,1,44.651952461799674
VVPR,2021-03-30,7.94,11.32,7.94,10.56,65210,32.99748110831233,1,-10.282485875706204
WAFU,2021-03-31,8.56,15.9,8.21,12.49,977812,45.91121495327102,1,60.902255639097746
MPU,2021-04-01,4.15,15.8,4.15,9.58,1145560,130.8433734939759,1,-45.178335535006596
UXIN,2021-04-01,1.31,2.01,1.23,1.985,3156838,51.526717557251914,3,27.804878048780513
SKLZ,2021-04-21,12.59,16.83,12.43,16.75,1343367,33.04209690230342,1,-23.044009779951104
OCGN,2021-04-22,6.72,9.535,6.62,9.27,682194,37.946428571428584,1,9.268292682926816
ERNA,2021-04-22,9.31,13.45,9.135,12.45,77977,33.72717508055851,1,48.248407643312106
UXIN,2021-04-23,1.38,2.46,1.37,2.125,722525,53.98550724637683,1,5.343511450381677
MI,2021-04-23,24.95,35.47,24.75,32.51,159095,30.30060120240481,4,21.945259042033214
RAIL,2021-04-23,5.12,7.16,5.12,6.66,143214,30.078125,1,8.245243128964042
RVPH,2021-04-26,4.96,9.47,4.96,8.64,290420,74.1935483870968,1,1.4314928425357865
MVIS,2021-04-26,19.96,27.74,19.76,26.47,1811268,32.61523046092183,2,89.91436726926739
VXRT,2021-04-27,6.22,9.495,6.22,8.34,1715562,34.083601286173625,2,22.440944881889745
ERNA,2021-04-27,15.62,27.56,15.62,24.785,115500,58.674775928297066,4,59.063136456211794
UXIN,2021-04-28,1.91,3.255,1.91,2.92,972957,52.87958115183247,1,50.98814229249011
