symbol,date,gain_pct,days_up,volume,trades,pnl,win,loss
FULC,2021-08-10,42.56371243818941,5,1532469,1,705.3153799999969,1,0
MPU,2021-08-11,32.31739358906989,1,51301,1,5568.681499999999,1,0
PMCB,2021-08-13,35.3813559322034,1,87573,0,0.0,0,1
ZSTK,2021-08-13,33.67029548989115,1,205048,0,0.0,0,1
PMCB,2021-08-18,53.134796238244505,2,538369,1,5460.153824999996,1,0
TROO,2021-08-18,65.89861751152075,1,381800,1,2619.5837699999975,1,0
MI,2021-08-25,60.26587887740029,2,561188,1,3458.119424999999,1,0
ATER,2021-08-27,47.93187347931873,1,315327,0,0.0,0,1
BBIG,2021-08-27,48.86685552407932,4,1123230,0,0.0,0,1
RNXT,2021-08-30,119.94497936726276,1,107336,0,0.0,0,1
FCUV,2021-09-01,206.04395604395606,1,243745,1,2137.290929999997,1,0
SLAI,2021-09-02,30.206185567010337,1,273502,0,0.0,0,1
IPHA,2021-09-03,35.8744394618834,1,237542,0,0.0,0,1
ATYR,2021-09-13,45.0793650793651,1,1149470,0,0.0,0,1
LIFE,2021-09-13,45.0793650793651,1,1149470,0,0.0,0,1
LIDR,2021-09-16,35.00697350069735,1,153402,0,0.0,0,1
CRVS,2021-09-17,40.897097625329806,1,1757109,0,0.0,0,1
CRVS,2021-09-21,56.95732838589984,3,544150,0,0.0,0,1
ZSTK,2021-09-24,35.098039215686285,1,163768,0,0.0,0,1
IPM,2021-09-29,52.48618784530385,5,516876,1,996.7880699999964,1,0
ALZN,2021-09-30,33.624454148471614,1,629036,1,2958.707314999998,1,0
PED,2021-10-01,31.410256410256387,1,335633,0,0.0,0,1
VYGR,2021-10-08,47.21485411140583,1,234830,0,0.0,0,1
GWH,2021-10-12,47.398119122257064,3,336221,1,1735.9078499999969,1,0
JSPR,2021-10-13,71.1825487944891,1,208805,1,961.9547999999982,1,0
AHG,2021-10-19,50.94936708860758,4,66190,0,0.0,0,1
AHG,2021-10-20,85.41048466864494,5,284221,0,0.0,0,1
OLOX,2021-10-22,39.69230769230769,1,113548,0,0.0,0,1
BKKT,2021-10-27,39.05437352245864,1,595073,0,0.0,0,1
CHAI,2021-10-27,81.01694915254237,1,1689900,1,4168.094709999998,1,0
BKKT,2021-10-29,62.97431966270604,1,912744,0,0.0,0,1
GREE,2021-10-29,30.79518072289158,1,148721,0,0.0,0,1
SDOT,2021-11-01,39.99999999999999,1,436526,0,0.0,0,1
BIRD,2021-11-03,35.47479484173506,1,824537,0,0.0,0,1
PETZ,2021-11-03,30.05464480874316,1,93079,0,0.0,0,1
PPSI,2021-11-08,72.45409015025042,1,971352,1,3564.535319999998,1,0
NEGG,2021-11-08,58.600337268128165,1,169798,0,0.0,0,1
CBAT,2021-11-08,41.77777777777778,1,177319,0,0.0,0,1
PETZ,2021-11-08,66.12466124661248,4,150779,0,0.0,0,1
WNW,2021-11-12,35.31157270029672,1,117522,0,0.0,0,1
IONQ,2021-11-16,34.26537874936451,1,215245,0,0.0,0,1
SEV,2021-11-17,88.88613247333168,1,592458,1,1525.2380699999974,1,0
INM,2021-11-17,31.756756756756754,1,469196,1,2896.1499000000003,1,0
GTEC,2021-11-22,47.88273615635179,2,171568,0,0.0,0,1
LGVN,2021-11-22,208.17782656421517,1,491676,0,0.0,0,1
APVO,2021-11-23,78.02313354363828,1,2061978,0,0.0,0,1
GRI,2021-11-23,67.51740139211138,1,268321,0,0.0,0,1
AIXC,2021-11-23,31.770833333333325,3,511437,0,0.0,0,1
LGVN,2021-11-24,127.91736460078167,1,615223,1,114.69831999999471,1,0
IVVD,2021-11-29,37.21204961606617,3,538061,1,4231.712679999993,1,0
ISPC,2021-11-29,42.62753319357093,1,474735,1,2612.672089999996,1,0
ARDX,2021-11-30,34.16608836456163,1,366309,0,0.0,0,1
ARDX,2021-12-02,46.75324675324675,1,2540704,0,0.0,0,1
TULP,2021-12-06,144.74959612277866,1,189836,0,0.0,0,1
CPIX,2021-12-06,56.59955257270695,3,104593,0,0.0,0,1
TULP,2021-12-08,47.511664074650085,1,272163,1,2474.9194199999974,1,0
TULP,2021-12-09,35.33527696793004,2,124487,1,-84.29483000000323,0,1
CELZ,2021-12-10,36.8421052631579,1,69521,0,0.0,0,1
IVVD,2021-12-16,120.8398133748056,1,2544700,1,-736.8227383555532,0,1
AUID,2021-12-17,30.17912772585669,1,88921,0,0.0,0,1
SPRB,2021-12-17,74.47552447552451,1,694124,0,0.0,0,1
SOPA,2021-12-22,64.66127401415571,1,1055261,0,0.0,0,1
FTK,2021-12-29,35.78570546846069,1,70031,0,0.0,0,1
MFIN,2021-12-29,83.73408769448373,1,110180,1,479.8299449999973,1,0
MI,2021-12-29,30.566037735849072,1,192069,0,0.0,0,1
KPRX,2021-12-30,50.450450450450425,4,371046,0,0.0,0,1
NTRB,2021-12-31,43.07909604519775,3,1561987,1,3090.907159999999,1,0
GNPX,2022-01-03,126.79738562091502,1,987889,1,1455.180434999994,1,0
HOUR,2022-01-07,61.03092783505155,1,151140,0,0.0,0,1
BBLG,2022-01-10,34.108527131782964,1,463453,1,732.933099999996,1,0
GFAI,2022-01-14,42.477876106194714,1,428743,1,4565.614499999996,1,0
SBEV,2022-01-14,87.2146118721461,4,236226,1,4317.238400000001,1,0
INDO,2022-01-27,45.29702970297029,1,96448,1,-4881.491875000005,0,1
KSCP,2022-01-28,124.75524475524473,1,79116,0,0.0,0,1
NVCT,2022-02-07,122.06703910614527,1,120785,1,-2104.750969999999,0,1
TISI,2022-02-15,35.10638297872342,4,79583,0,0.0,0,1
LRMR,2022-02-15,34.21926910299005,1,144345,0,0.0,0,1
SKLZ,2022-02-24,30.542986425339368,1,1033652,0,0.0,0,1
HTZ,2022-02-24,30.774321641297163,1,478208,0,0.0,0,1
